ESTADO,CODPROJETO,ANO,CLONESEMENTE,CODTALHAO,ANOREF,ANOREF,CHATALHAO,NUMPARCELA,CHAVE,AREA,AREA,I1,I2,FILA,FILA,NUMARVORECONTROLE,NUMARVORECONTROLE,DAP1,DAP2,ALT1,ALT2,ALTEST1,ALTEST2,VCCI,VCCI2,S,CLONESEMENTE,indice
MT,MTV,2005,SEED,001A,2018,2019,599,4494,599-4494,1080,1080,12.8,13.4,9,9,8,8,25.15,27.25,18.8,28,18.8,28,0.372766059,0.579436997,19.99463927,SEED,41
MT,MTV,2005,SEED,001A,2019,2020,599,4494,599-4494,1080,1080,13.4,14.5,9,9,8,8,27.25,28.25,28,21.9,28,21.9,0.579436997,0.527087267,19.99463927,SEED,41
MT,MTV,2005,SEED,001A,2018,2019,599,4494,599-4494,1080,1080,12.8,13.4,9,9,10,10,21.05,22.05,0,0,17,19.3,0.247911477,0.295710415,19.99463927,SEED,42
MT,MTV,2005,SEED,001A,2019,2020,599,4494,599-4494,1080,1080,13.4,14.5,9,9,10,10,22.05,22.3,0,0,19.3,19.7,0.295710415,0.312673638,19.99463927,SEED,42
MT,MTV,2005,SEED,001A,2018,2019,599,4494,599-4494,1080,1080,12.8,13.4,9,9,12,12,23.8,25.55,18,19.7,18,19.7,0.325622367,0.397712979,19.99463927,SEED,43
MT,MTV,2005,SEED,001A,2019,2020,599,4494,599-4494,1080,1080,13.4,14.5,9,9,12,12,25.55,27.25,19.7,21.4,19.7,21.4,0.397712979,0.484140043,19.99463927,SEED,43
MT,MTV,2005,SEED,001A,2018,2019,599,4503,599-4503,1080,1080,12.8,13.4,1,1,1,1,18.2,18.8,17.2,17.6,17.2,17.6,0.189949253,0.204197175,17.55883309,SEED,44
MT,MTV,2005,SEED,001A,2019,2020,599,4503,599-4503,1080,1080,13.4,14.5,1,1,1,1,18.8,19.25,17.6,18.2,17.6,18.2,0.204197175,0.224026963,17.55883309,SEED,44
MT,MTV,2005,SEED,001A,2018,2019,599,4503,599-4503,1080,1080,12.8,13.4,1,1,4,4,23.7,24.45,17,17.7,17,17.7,0.310130128,0.338524436,17.55883309,SEED,45
MT,MTV,2005,SEED,001A,2019,2020,599,4503,599-4503,1080,1080,13.4,14.5,1,1,4,4,24.45,24.75,17.7,18.2,17.7,18.2,0.338524436,0.3558653,17.55883309,SEED,45
MT,MTV,2005,SEED,001A,2018,2019,599,4503,599-4503,1080,1080,12.8,13.4,1,1,6,6,16.95,17.6,15.2,15.4,15.2,15.4,0.152045122,0.16352751,17.55883309,SEED,46
MT,MTV,2005,SEED,001A,2019,2020,599,4503,599-4503,1080,1080,13.4,14.5,1,1,6,6,17.6,18.45,15.4,15.8,15.4,15.8,0.16352751,0.184852776,17.55883309,SEED,46
MT,MTV,2005,SEED,001A,2018,2019,599,4503,599-4503,1080,1080,12.8,13.4,1,1,8,8,22.45,23.3,17,17.6,17,17.6,0.279969734,0.307532614,17.55883309,SEED,47
MT,MTV,2005,SEED,001A,2019,2020,599,4503,599-4503,1080,1080,13.4,14.5,1,1,8,8,23.3,23.8,17.6,18.4,17.6,18.4,0.307532614,0.334050274,17.55883309,SEED,47
MT,MTV,2005,SEED,001A,2018,2019,599,4503,599-4503,1080,1080,12.8,13.4,1,1,11,11,22.8,24.05,16,16.9,16,16.9,0.276060934,0.317279905,17.55883309,SEED,48
MT,MTV,2005,SEED,001A,2019,2020,599,4503,599-4503,1080,1080,13.4,14.5,1,1,11,11,24.05,24.2,16.9,17.2,16.9,17.2,0.317279905,0.326227366,17.55883309,SEED,48
