parcela,arvore,comum,cientifico,familia,dap2012,cc2012,hcom,ht,vertical,luminosidade,medicao,dap2014,cc2014
T02,33,mapatirana,Pourouma villosa,Urticaceae,58.2,57.5,13.39,27.06,E,1,20120209,59.1,57.5
T02,35,abiurana,Pouteria gongrijpii,Sapotaceae,40.8,42.5,20.7,31.01,C,1,20120209,47.7,47.5
T02,36,casca seca,Licania canescens,Chrysobalanaceae,20.4,22.5,14.77,24.54,S,2,20120209,20.8,22.5
T02,37,abiurana,Pouteria gongrijpii,Sapotaceae,18.8,17.5,14.13,24.36,S,2,20120209,19.3,17.5
T02,38,capueiro,Rinorea guianensis,Violaceae,27.2,27.5,12.45,22.94,S,2,20120209,27.2,27.5
T02,41,coco-pau,Couepia robusta,Chrysobalanaceae,43.4,42.5,26.53,35.38,C,1,20120209,49.7,47.5
T02,42,matamata,Eschweilera amazonica,Lecythidaceae,35,37.5,16.82,30.76,C,1,20120209,36,37.5
T02,43,abiurana,Pouteria gongrijpii,Sapotaceae,12.6,12.5,10.08,16,S,3,20120209,12.9,12.5
T02,45,matamata,Eschweilera parviflora,Lecythidaceae,10.4,12.5,6.4,11.91,S,2,20120209,10.6,12.5
T02,46,jatereu,Lecythis idatimon,Lecythidaceae,15.8,17.5,9.63,14.28,S,2,20120209,15.8,17.5
T02,47,fava,Parkia sp.,Fabaceae,40.8,42.5,12.56,22.84,S,1,20120209,44,42.5
T02,49,casca seca,Licania canescens,Chrysobalanaceae,17.5,17.5,17.15,27.97,S,2,20120209,17.5,17.5
T02,50,matamata,Eschweilera amazonica,Lecythidaceae,24,22.5,16.75,27.47,S,2,20120209,24.4,22.5
T02,51,morta,NA,NA,58.9,57.5,NA,5.27,NA,NA,20120209,58.9,57.5
T02,52,parajuba,Manilkara bidentata,Sapotaceae,39.8,37.5,19.95,28.26,S,2,20120209,40.6,42.5
T02,55,amapa amargoso,Brosimum guianense,Moraceae,48.6,47.5,20.24,30.26,E,1,20120209,51.2,52.5
T02,56,manguerana,Tovomita sp.,Clusiaceae,10.6,12.5,4.79,8.31,S,2,20120209,10.7,12.5
T02,57,jatereu,Lecythis idatimon,Lecythidaceae,32.7,32.5,14.91,20.84,E,1,20120209,33.3,32.5
T02,58,breu barrote,Tetragastris panamensis,Burseraceae,17.1,17.5,6.92,13.23,S,2,20120209,17.2,17.5
T02,59,ingarana,Inga sp.,Fabaceae,34.5,32.5,8.35,20,S,1,20120209,34.7,32.5
T02,60,matamata,Eschweilera amazonica,Lecythidaceae,11.3,12.5,6.66,14.72,S,1,20120209,11.4,12.5
T02,61,fava vermelha,Stryphnodendron pulcherrimum,Fabaceae,23.5,22.5,10.46,17.12,E,1,20120209,25.7,27.5
T02,62,parapara,Jacaranda copaia,Bignoniaceae,11.1,12.5,10.55,11.58,S,1,20120209,11.7,12.5
T02,64,cajuacu,Anacardium spruceanum,Anacardiaceae,20.8,22.5,11.1,15.98,S,2,20120209,21,22.5
T02,65,abiu cutite,NA,NA,21,22.5,8.33,18.05,S,2,20120209,21.5,22.5
T02,66,abiu cutite,NA,NA,42,42.5,14.22,21.94,C,1,20120209,42.5,42.5
T02,67,casca seca,Licania canescens,Chrysobalanaceae,10.4,12.5,7.14,12.09,S,2,20120209,10.4,12.5
T02,69,embauba,Cecropia ficifolia,Urticaceae,25.3,27.5,13.28,20.13,S,1,20120209,27.4,27.5
T02,72,breu branco,Protium paniculatum,Burseraceae,12.8,12.5,10.96,15.91,S,2,20120209,13.6,12.5
T02,74,tamanqueira,Zanthoxylum rhoifolium,Rutaceae,32,32.5,15.09,21.69,S,2,20120209,32.5,32.5
T02,75,breu branco,Protium paniculatum,Burseraceae,54.3,52.5,23.59,35.56,S,1,20120209,54.6,52.5
T02,77,macucu,Licania guianensis,Chrysobalanaceae,36.7,37.5,6.48,11.14,C,1,20120209,37.8,37.5
T02,78,jatereu,Lecythis idatimon,Lecythidaceae,28.8,27.5,12.24,18.14,S,2,20120209,28.7,27.5
T02,79,abiu cutite,NA,NA,47.2,47.5,14.51,21.53,S,2,20120209,48,47.5
T02,83,ucurana,Sloanea guianensis,Elaeocarpaceae,28.9,27.5,13.64,21.84,S,2,20120209,28.9,27.5
T02,84,fava-core,Parkia nitida,Fabaceae,88.3,87.5,12.43,23.56,E,1,20120209,89.2,87.5
T02,85,abiu cutite,NA,NA,26.5,27.5,10.89,16.97,S,2,20120209,26.8,27.5
T02,87,abiurana,Pouteria gongrijpii,Sapotaceae,46,47.5,20.4,30.42,C,1,20120209,46.7,47.5
T02,90,coquirana,Chrysophyllum sanguinolentum,Sapotaceae,42,42.5,21.12,31.48,C,1,20120209,41.9,42.5
