parcela,arvore,comum,cientifico,familia,dap2012,vertical,luminosidade,hcom,ht,medicao
T04,128,fava-bolacha,Vatairea guianensis,Fabaceae,60,S,2,22.65,32.34,20120211
T04,137,pintadinho,Poeppigia procera,Fabaceae,38.2,C,2,12.77,19.46,20120211
T04,138,barrote,Tetragastris altissima,Burseraceae,60.5,S,2,11.89,29.6,20120211
T04,143,matamata preto,Eschweilera ovata,Lecythidaceae,43,C,2,11.94,23.68,20120211
T04,146,morta,NA,NA,46.8,NA,NA,NA,34.77,20120211
T04,147,morta,NA,NA,36.5,NA,NA,NA,27.64,20120211
T04,148,macaranduba,Manilkara huberi,Sapotaceae,36.1,C,2,19.78,28.27,20120211
T04,149,ucurana,Sloanea guianensis,Elaeocarpaceae,42.6,C,2,31.77,36.57,20120211
T04,150,uxi,Endopleura uchi,Humiriaceae,59.2,C,2,31.83,43.7,20120211
T04,151,abiurana,Pouteria gongrijpii,Sapotaceae,54.9,C,2,21.76,17.41,20120211
T04,152,timborana,Pseudopiptadenia suaveolens,Fabaceae,40,C,2,22.87,34.75,20120211
T04,153,matamata branco,Eschweilera coriacea,Lecythidaceae,45.7,C,2,17.59,39.64,20120211
T04,154,abiurana,Pouteria gongrijpii,Sapotaceae,45.5,C,2,16.06,27.34,20120211
T04,155,ucuuba,Virola michelii,Myristicaceae,40.7,C,2,22.42,33.15,20120211
T04,156,maracatiara,Astronium graveolens,Anacardiaceae,68.1,E,1,31.09,42.92,20120211
T04,157,macaranduba,Manilkara huberi,Sapotaceae,37.3,C,2,21.46,29.4,20120211
T04,159,muiratinga,Maquira coriacea,Moraceae,40.4,C,2,16.61,26.07,20120211
T04,160,breu vermelho,Protium hebetatum,Burseraceae,41.2,C,2,20.75,33.35,20120211
T04,161,breu barrote,Tetragastris panamensis,Burseraceae,48.9,C,2,18.27,29,20120211
T04,162,jatereu,Lecythis idatimon,Lecythidaceae,36.7,C,2,19.2,22.94,20120211
T04,163,morta,NA,NA,39.5,NA,NA,NA,3.78,20120211
T04,165,cupiuba,Goupia glabra,Goupiaceae,41.1,C,2,19.15,28.69,20120211
T04,166,iperana,Eperua bijuga,Fabaceae,43.5,C,2,18.5,28.11,20120211
T04,167,morta,NA,NA,35.5,NA,NA,NA,28.11,20120211
T04,168,caramuxi,Pouteria hispida,Sapotaceae,45,C,2,23.69,35.51,20120211
T04,169,caramuxi,Pouteria hispida,Sapotaceae,36.6,C,2,18.95,28.42,20120211
T04,170,morta,NA,NA,38.1,NA,NA,NA,25.82,20120211
T04,171,matamata branco,Eschweilera coriacea,Lecythidaceae,42.2,C,2,18.22,27.56,20120211
T04,172,iperana,Eperua bijuga,Fabaceae,41.1,C,2,14.09,30.82,20120211
T04,173,louro preto,Nectandra cuspidata,Lauraceae,46.6,C,2,26.6,35.07,20120211
T04,174,abiurana,Pouteria gongrijpii,Sapotaceae,39.9,C,2,17.51,24.76,20120211
T04,175,casca seca,Licania canescens,Chrysobalanaceae,42.9,S,2,29.74,36.81,20120211
T04,176,guajara-bolacha,Pouteria oppositifolia,Sapotaceae,50.4,C,2,28.32,42.2,20120211
T04,177,abiurana,Pouteria gongrijpii,Sapotaceae,54.4,C,2,22.1,29.08,20120211
T04,178,casca seca,Licania canescens,Chrysobalanaceae,46.6,C,2,28.6,37.86,20120211
T05,5,freijo branco,Cordia scabrifolia,Boraginaceae,35.8,S,1,19.52,26.1,20120131
T05,6,ucuuba,Virola michelii,Myristicaceae,47.7,C,2,20.79,28.89,20120131
T05,10,tachirana,Stryphnodendron paniculatum,Fabaceae,86.3,E,1,29.42,41.06,20120131
T05,29,guajara branco,Pouteria sp.,Sapotaceae,44.2,C,2,16.51,26.38,20120131
T05,36,morta,NA,NA,77.8,NA,NA,NA,31.17,20120131
T05,49,breu barrote,Tetragastris panamensis,Burseraceae,40.5,C,1,16.06,31.54,20120131
T05,56,barrote,Tetragastris altissima,Burseraceae,45.5,C,1,22.52,38.86,20120131
T05,66,macaranduba,Manilkara huberi,Sapotaceae,86,E,1,33.04,51.01,20120131
T05,75,abiurana,Pouteria gongrijpii,Sapotaceae,62,S,1,19.2,29.1,20120131
T05,76,inga,Inga marginata,Fabaceae,36.7,S,2,9.95,19.09,20120131
T05,81,jatereu,Lecythis idatimon,Lecythidaceae,39.2,C,1,19.93,30.51,20120131
T05,83,abiurana,Pouteria gongrijpii,Sapotaceae,69.5,E,1,29.68,41.11,20120131
